time 	curr	srvc	payld	bdw	NoC	InPort	target_router
5242	0	33	1	1	2	W	0
5388	0	14	2	2	1	L	0
5388	256	14	2	2	1	L	0
5388	512	14	2	2	1	L	0
5388	1	14	2	2	1	L	0
5388	257	14	2	2	1	L	0
5388	513	14	2	2	1	L	0
5388	2	14	2	2	1	L	0
5388	258	14	2	2	1	L	0
5388	514	14	2	2	1	L	0
5390	0	14	2	2	1	S	0
5390	0	14	2	2	1	E	0
5390	256	14	2	2	1	E	0
5390	1	14	2	2	1	S	0
5390	1	14	2	2	1	E	0
5390	257	14	2	2	1	E	0
5390	2	14	2	2	1	E	0
5390	258	14	2	2	1	E	0
5393	0	14	2	3	1	S	0
5393	1	14	2	4	1	E	0
5393	0	14	2	6	1	E	0
5398	0	19	2	2	2	L	8192
5393	2	14	2	8	1	E	0
5397	0	14	2	5	1	S	0
5393	1	14	2	10	1	S	0
5414	0	24	8	13	3	W	0
5436	0	29	4	4	2	L	0
5403	0	14	2	40	1	S	0
5441	0	19	2	2	2	L	8192
5453	0	14	2	2	1	L	0
5458	0	24	8	13	3	W	0
5480	0	29	4	4	2	L	1
5482	1	29	4	4	2	N	1
5444	0	14	2	43	1	S	0
5485	0	19	2	2	2	L	8192
5405	1	14	2	83	1	S	0
5499	1	14	2	2	1	L	0
5502	0	24	8	13	3	W	0
5524	0	29	4	4	2	L	256
5526	256	29	4	4	2	W	256
5529	0	19	2	2	2	L	8192
5543	256	14	2	2	1	L	0
5545	0	14	2	2	1	E	0
5546	0	24	8	13	3	W	0
5568	0	29	4	4	2	L	257
5570	256	29	4	4	2	W	257
5488	0	14	2	87	1	S	0
5573	0	19	2	2	2	L	8192
5572	257	29	4	4	2	N	257
5589	257	14	2	2	1	L	0
5591	1	14	2	2	1	E	0
5590	0	24	8	13	3	W	0
5612	0	29	4	4	2	L	512
5614	256	29	4	4	2	W	512
5617	0	19	2	2	2	L	8192
5615	512	29	4	4	2	W	512
5632	512	14	2	2	1	L	0
5634	256	14	2	2	1	E	0
5635	0	14	2	2	1	E	0
5634	0	24	8	13	3	W	0
5656	0	29	4	4	2	L	2
5658	1	29	4	4	2	N	2
5576	0	14	2	87	1	S	0
5661	0	19	2	2	2	L	8192
5659	2	29	4	4	2	N	2
5676	2	14	2	2	1	L	0
5678	1	14	2	2	1	S	0
5678	0	24	8	13	3	W	0
5700	0	29	4	4	2	L	513
5702	256	29	4	4	2	W	513
5705	0	19	2	2	2	L	8192
5703	512	29	4	4	2	W	513
5705	513	29	4	4	2	N	513
5722	513	14	2	2	1	L	0
5724	257	14	2	2	1	E	0
5722	0	24	8	13	3	W	0
5744	0	29	4	4	2	L	0
5664	0	14	2	87	1	S	0
5749	0	19	2	2	2	L	8192
5725	1	14	2	27	1	E	0
5761	0	14	2	2	1	L	0
5766	0	24	8	13	3	W	0
5788	0	29	4	4	2	L	258
5790	256	29	4	4	2	W	258
5752	0	14	2	43	1	S	0
5793	0	19	2	2	2	L	8192
5792	257	29	4	4	2	N	258
5793	258	29	4	4	2	N	258
5810	258	14	2	2	1	L	0
5812	2	14	2	2	1	E	0
5814	1	14	2	2	1	S	0
5810	0	24	8	13	3	W	0
5832	0	29	4	4	2	L	256
5834	256	29	4	4	2	W	256
5837	0	19	2	2	2	L	8192
5851	256	14	2	2	1	L	0
5853	0	14	2	2	1	E	0
5854	0	24	8	13	3	W	0
5876	0	29	4	4	2	L	514
5878	256	29	4	4	2	W	514
5796	0	14	2	87	1	S	0
5881	0	19	2	2	2	L	8192
5879	512	29	4	4	2	W	514
5881	513	29	4	4	2	N	514
5882	514	29	4	4	2	N	514
5899	514	14	2	2	1	L	0
5901	258	14	2	2	1	E	0
5902	2	14	2	2	1	E	0
5898	0	24	8	13	3	W	0
5920	0	29	4	4	2	L	512
5922	256	29	4	4	2	W	512
5925	0	19	2	2	2	L	8192
5923	512	29	4	4	2	W	512
5940	512	14	2	2	1	L	0
5942	256	14	2	2	1	E	0
5943	0	14	2	2	1	E	0
5942	0	24	8	13	3	W	0
5964	0	29	4	4	2	L	1
5966	1	29	4	4	2	N	1
5884	0	14	2	87	1	S	0
5969	0	19	2	2	2	L	8192
5904	1	14	2	68	1	S	0
5983	1	14	2	2	1	L	0
5986	0	24	8	13	3	W	0
6008	0	29	4	4	2	L	257
6010	256	29	4	4	2	W	257
6013	0	19	2	2	2	L	8192
6012	257	29	4	4	2	N	257
6029	257	14	2	2	1	L	0
6031	1	14	2	2	1	E	0
6030	0	24	8	13	3	W	0
6052	0	29	4	4	2	L	0
5972	0	14	2	87	1	S	0
6057	0	19	2	2	2	L	8192
6069	0	14	2	2	1	L	0
6074	0	24	8	13	3	W	0
6096	0	29	4	4	2	L	2
6098	1	29	4	4	2	N	2
6060	0	14	2	43	1	S	0
6101	0	19	2	2	2	L	8192
6099	2	29	4	4	2	N	2
6116	2	14	2	2	1	L	0
6118	1	14	2	2	1	S	0
6118	0	24	8	13	3	W	0
6140	0	29	4	4	2	L	256
6142	256	29	4	4	2	W	256
