time 	curr	srvc	payld	bdw	NoC	InPort	target_router
5242	0	33	1	1	2	W	0
33137	0	14	2	2	1	L	0
33137	256	14	2	2	1	L	0
33137	512	14	2	2	1	L	0
33137	1	14	2	2	1	L	0
33137	257	14	2	2	1	L	0
33137	513	14	2	2	1	L	0
33137	2	14	2	2	1	L	0
33137	258	14	2	2	1	L	0
33137	514	14	2	2	1	L	0
33139	0	14	2	2	1	S	0
33139	0	14	2	2	1	E	0
33139	256	14	2	2	1	E	0
33139	1	14	2	2	1	S	0
33139	1	14	2	2	1	E	0
33139	257	14	2	2	1	E	0
33139	2	14	2	2	1	E	0
33139	258	14	2	2	1	E	0
33142	0	14	2	3	1	S	0
33142	1	14	2	4	1	E	0
33142	0	14	2	6	1	E	0
33147	0	19	2	2	2	L	8192
33142	2	14	2	8	1	E	0
33146	0	14	2	5	1	S	0
33142	1	14	2	10	1	S	0
33163	0	24	8	13	3	W	0
33185	0	29	4	4	2	L	0
33152	0	14	2	40	1	S	0
33190	0	19	2	2	2	L	8192
33202	0	14	2	2	1	L	0
33207	0	24	8	13	3	W	0
33229	0	29	4	4	2	L	1
33231	1	29	4	4	2	N	1
33193	0	14	2	43	1	S	0
33234	0	19	2	2	2	L	8192
33154	1	14	2	83	1	S	0
33248	1	14	2	2	1	L	0
33251	0	24	8	13	3	W	0
33273	0	29	4	4	2	L	256
33275	256	29	4	4	2	W	256
33278	0	19	2	2	2	L	8192
33292	256	14	2	2	1	L	0
33294	0	14	2	2	1	E	0
33295	0	24	8	13	3	W	0
33317	0	29	4	4	2	L	257
33319	256	29	4	4	2	W	257
33237	0	14	2	87	1	S	0
33322	0	19	2	2	2	L	8192
33321	257	29	4	4	2	N	257
33338	257	14	2	2	1	L	0
33340	1	14	2	2	1	E	0
33339	0	24	8	13	3	W	0
33361	0	29	4	4	2	L	512
33363	256	29	4	4	2	W	512
33366	0	19	2	2	2	L	8192
33364	512	29	4	4	2	W	512
33381	512	14	2	2	1	L	0
33383	256	14	2	2	1	E	0
33384	0	14	2	2	1	E	0
33383	0	24	8	13	3	W	0
33405	0	29	4	4	2	L	2
33407	1	29	4	4	2	N	2
33325	0	14	2	87	1	S	0
33410	0	19	2	2	2	L	8192
33408	2	29	4	4	2	N	2
33425	2	14	2	2	1	L	0
33427	1	14	2	2	1	S	0
33427	0	24	8	13	3	W	0
33449	0	29	4	4	2	L	513
33451	256	29	4	4	2	W	513
33454	0	19	2	2	2	L	8192
33452	512	29	4	4	2	W	513
33454	513	29	4	4	2	N	513
33471	513	14	2	2	1	L	0
33473	257	14	2	2	1	E	0
33471	0	24	8	13	3	W	0
33493	0	29	4	4	2	L	0
33413	0	14	2	87	1	S	0
33498	0	19	2	2	2	L	8192
33474	1	14	2	27	1	E	0
33510	0	14	2	2	1	L	0
33515	0	24	8	13	3	W	0
33537	0	29	4	4	2	L	258
33539	256	29	4	4	2	W	258
33501	0	14	2	43	1	S	0
33542	0	19	2	2	2	L	8192
33541	257	29	4	4	2	N	258
33542	258	29	4	4	2	N	258
33559	258	14	2	2	1	L	0
33561	2	14	2	2	1	E	0
33563	1	14	2	2	1	S	0
33559	0	24	8	13	3	W	0
33581	0	29	4	4	2	L	256
33583	256	29	4	4	2	W	256
33586	0	19	2	2	2	L	8192
33600	256	14	2	2	1	L	0
33602	0	14	2	2	1	E	0
33603	0	24	8	13	3	W	0
